Soil_Type,Sunlight_Hours,Water_Frequency,Growth_Milestone
loam,5.192294089,bi-weekly,0
sandy,4.033132703,weekly,1
loam,8.892768571,bi-weekly,0
loam,8.241144063,bi-weekly,0
sandy,8.374043008,bi-weekly,0
sandy,8.62762208,bi-weekly,0
loam,4.44426791,daily,1
clay,6.150794371,daily,0
loam,4.695214357,bi-weekly,1
loam,9.178620555,weekly,1
loam,7.739788761,daily,0
loam,5.985388149,bi-weekly,0
sandy,4.381350102,daily,1
loam,5.86589393,daily,1
clay,5.951099932,weekly,1
sandy,8.37763707,bi-weekly,1
clay,7.825344828,bi-weekly,0
clay,9.323276455,weekly,0
clay,6.833289551,weekly,1
clay,4.717565476,bi-weekly,1
sandy,8.279468723,bi-weekly,0
sandy,8.564710292,weekly,1
clay,7.367663185,daily,0
clay,8.62580308,daily,1
sandy,6.962773578,weekly,1
sandy,7.136396976,daily,0
sandy,6.56524611,weekly,0
loam,4.15251476,daily,0
loam,4.647348562,daily,1
loam,4.188575114,bi-weekly,1
clay,7.818462468,bi-weekly,0
loam,5.886135886,daily,0
clay,7.051424147,daily,0
clay,9.445398844,bi-weekly,0
loam,5.495753375,bi-weekly,1
clay,6.462297538,bi-weekly,1
loam,8.533306831,weekly,0
loam,5.372788993,daily,1
sandy,4.461879459,bi-weekly,0
loam,5.738508717,daily,1
sandy,4.967327724,weekly,1
loam,9.578185914,weekly,1
loam,8.848722277,bi-weekly,1
sandy,7.800422539,weekly,1
sandy,9.228763541,daily,0
loam,8.822032461,bi-weekly,1
clay,5.119420353,daily,1
sandy,9.355353991,daily,1
clay,7.236053451,weekly,0
clay,8.844640931,weekly,0
clay,9.3765478,weekly,0
sandy,5.90802085,weekly,1
clay,4.660311547,weekly,0
sandy,5.367610975,bi-weekly,0
clay,6.562646732,daily,0
loam,8.908088596,daily,0
loam,9.1643835,daily,1
sandy,4.041712783,daily,0
loam,7.064483815,weekly,0
loam,6.504466019,daily,1
clay,5.332646863,bi-weekly,1
sandy,4.719192204,bi-weekly,0
clay,6.025691028,daily,0
clay,9.657458223,daily,0
clay,5.939217592,bi-weekly,0
clay,7.11274373,bi-weekly,1
clay,8.218113753,weekly,1
clay,6.181777614,bi-weekly,1
clay,9.830692496,weekly,0
sandy,9.77468377,weekly,1
loam,5.510693775,weekly,0
clay,6.983491035,weekly,1
clay,5.805269859,weekly,1
clay,5.709042966,daily,1
clay,4.221321684,bi-weekly,1
clay,7.657386004,weekly,0
clay,7.016074139,bi-weekly,0
loam,4.308872507,bi-weekly,1
loam,5.671878785,weekly,1
clay,9.449595316,daily,1
loam,5.437371344,weekly,1
sandy,4.869369233,daily,1
clay,6.936716562,bi-weekly,0
sandy,9.913902725,daily,1
sandy,5.452331629,daily,0
clay,8.032813284,daily,0
loam,8.569717692,bi-weekly,1
sandy,5.425825264,bi-weekly,1
clay,8.369298092,daily,0
sandy,6.206698796,daily,1
sandy,7.793834984,weekly,1
sandy,7.801178265,daily,0
sandy,7.214648104,weekly,0
loam,4.54173862,daily,1
sandy,9.011814974,weekly,0
sandy,5.92468039,bi-weekly,0
sandy,5.119111062,daily,1
loam,4.244650849,daily,0
sandy,7.545357659,daily,0
sandy,8.065386171,daily,0
